Num	ID	Virus	cell type	fastq_f	sample	memo
1	CI001	WK-521	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l1_0065_A09_Dr_Sato_RNA1_S65_L001	s_RNA1	Kimura_1
2	CI001	WK-521	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l1_0066_B09_Dr_Sato_RNA2_S66_L001	s_RNA2	Kimura_2
3	CI001	WK-521	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l1_0067_C09_Dr_Sato_RNA3_S67_L001	s_RNA3	Kimura_3
4	CI001	WK-521	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l1_0068_D09_Dr_Sato_RNA4_S68_L001	s_RNA4	Kimura_4
5	BI005	BANAL-236	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l1_0069_E09_Dr_Sato_RNA5_S69_L001	s_RNA5	Kimura_5
6	BI005	BANAL-236	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l1_0070_F09_Dr_Sato_RNA6_S70_L001	s_RNA6	Kimura_6
7	BI005	BANAL-236	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l1_0071_G09_Dr_Sato_RNA7_S71_L001	s_RNA7	Kimura_7
8	BI005	BANAL-236	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l1_0072_H09_Dr_Sato_RNA8_S72_L001	s_RNA8	Kimura_8
9	KS055	WK-521 delFCS	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l2_0073_A10_Dr_Sato_RNA9_S169_L002	s_RNA9	Kimura_9
10	KS055	WK-521 delFCS	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l2_0074_B10_Dr_Sato_RNA10_S170_L002	s_RNA10	Kimura_10
11	KS055	WK-521 delFCS	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l2_0075_C10_Dr_Sato_RNA11_S171_L002	s_RNA11	Kimura_11
12	KS055	WK-521 delFCS	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l2_0076_D10_Dr_Sato_RNA12_S172_L002	s_RNA12	Kimura_12
13	Mock	Uninfected	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l2_0079_G10_Dr_Sato_RNA13_S175_L002	s_RNA13	Kimura_13
14	Mock	Uninfected	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l2_0080_H10_Dr_Sato_RNA14_S176_L002	s_RNA14	Kimura_14
15	Mock	Uninfected	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l2_0081_A11_Dr_Sato_RNA15_S177_L002	s_RNA15	Kimura_15
16	Mock	Uninfected	HiLung_Airway	221021_NovaSeq_SP_TruseqUD_l2_0082_B11_Dr_Sato_RNA16_S178_L002	s_RNA16	Kimura_16
1	CI001	WK-521	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0089_A12_Dr_Sato_1_CI001_S89_L002	s_1_CI001	Fujita_1
2	CI001	WK-521	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0090_B12_Dr_Sato_2_CI001_S90_L002	s_2_CI001	Fujita_2
3	CI001	WK-521	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0091_C12_Dr_Sato_3_CI001_S91_L002	s_3_CI001	Fujita_3
4	CI001	WK-521	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0092_D12_Dr_Sato_4_CI001_S92_L002	s_4_CI001	Fujita_4
5	BI005	BANAL-236	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0093_E12_Dr_Sato_5_BI005_S93_L002	s_5_BI005	Fujita_5
6	BI005	BANAL-236	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0094_F12_Dr_Sato_6_BI005_S94_L002	s_6_BI005	Fujita_6
7	BI005	BANAL-236	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0095_G12_Dr_Sato_7_BI005_S95_L002	s_7_BI005	Fujita_7
8	BI005	BANAL-236	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0096_H12_Dr_Sato_8_BI005_S96_L002	s_8_BI005	Fujita_8
9	KS055	WK-521 delFCS	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0001_A01_Dr_Sato_9_KS055_S1_L002	s_9_KS055	Fujita_9
10	KS055	WK-521 delFCS	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0002_B01_Dr_Sato_10_KS055_S2_L002	s_10_KS055	Fujita_10
11	KS055	WK-521 delFCS	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0003_C01_Dr_Sato_11_KS055_S3_L002	s_11_KS055	Fujita_11
12	KS055	WK-521 delFCS	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0004_D01_Dr_Sato_12_KS055_S4_L002	s_12_KS055	Fujita_12
17	Mock (P2)	Uninfected	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0005_E01_Dr_Sato_17_Mock_P2_S5_L002	s_17_Mock_P2	Fujita_13
18	Mock (P2)	Uninfected	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0006_F01_Dr_Sato_18_Mock_P2_S6_L002	s_18_Mock_P2	Fujita_14
19	Mock (P2)	Uninfected	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0007_G01_Dr_Sato_19_Mock_P2_S7_L002	s_19_Mock_P2	Fujita_15
20	Mock (P2)	Uninfected	HiLung_Lung	221124_NovaSeq_S4_TruseqUD_l2_0008_H01_Dr_Sato_20_Mock_P2_S8_L002	s_20_Mock_P2	Fujita_16
1	BANAL-1	BANAL-236	Colon organoid	221202_NovaSeq_SP_TruseqUD_l2_0025_A04_Dr_Sato_human_iPS_cell-derived_colon_organoids_BANAL-1_S121_L002	s_human_iPS_cell-derived_colon_organoids_BANAL-1	Takayama_1
2	BANAL-2	BANAL-236	Colon organoid	221202_NovaSeq_SP_TruseqUD_l2_0026_B04_Dr_Sato_human_iPS_cell-derived_colon_organoids_BANAL-2_S122_L002	s_human_iPS_cell-derived_colon_organoids_BANAL-2	Takayama_2
