Lane	Project	Sample	Sample_bam	Grouping	Virus	Day	Tissue	PF_Clusters	RIN	fastp_after_trimming_reads 	STAR_uniquely_mapped_reads	STAR_multi_mapped_reads	 STAR_total_mapped_reads	STAR_no_mapped_reads	FeatureCount_Assigned	FeatureCount_Unassigned_NoFeatures	FeatureCount_Unassigned_Ambiguity	Picard_PERCENT_DUPLICATION	Picard_PF_BASES	Picard_PF_ALIGNED_BASES	Picard_CODING_BASES	Picard_UTR_BASES	Picard_INTRONIC_BASES	Picard_INTERGENIC_BASES	Picard_CORRECT_STRAND_READS	Picard_INCORRECT_STRAND_READS	Picard_PCT_CODING_BASES	Picard_PCT_UTR_BASES	Picard_PCT_INTRONIC_BASES	Picard_PCT_INTERGENIC_BASES	Picard_PCT_MRNA_BASES	Picard_PCT_CORRECT_STRAND_READS
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0001_A01_Dr_Sato_1_RNA_2dpi_BANAL_293_h	bam.230323_Novaseq_S4_TruseqUD_l3_0001_A01_Dr_Sato_1_RNA_2dpi_BANAL_293_h_S1.230323_Novaseq_S4_TruseqUD_l3_0001_A01_Dr_Sato_1_RNA_2dpi_BANAL_293_h_S1_Aligned.out.bam	BANAL-236_Hilum_2dpi	BANAL-236	2dpi	Hilum	"47,229,123"	8.8 	"40,626,235 "	"34,902,267 "	"1,169,376 "	"36,071,643 "	"4,554,592 "	"32,429,233 "	"2,443,253 "	"29,120 "	70.75%	"11,109,303,646 "	"9,387,591,487 "	"5,279,734,453 "	"3,402,428,301 "	"349,358,489 "	"356,070,244 "	"32,554,452 "	"178,793 "	56.24%	36.24%	3.72%	3.79%	92.49%	99.45%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0002_B01_Dr_Sato_2_2dpi_BANAL_294_h	bam.230323_Novaseq_S4_TruseqUD_l3_0002_B01_Dr_Sato_2_2dpi_BANAL_294_h_S2.230323_Novaseq_S4_TruseqUD_l3_0002_B01_Dr_Sato_2_2dpi_BANAL_294_h_S2_Aligned.out.bam	BANAL-236_Hilum_2dpi	BANAL-236	2dpi	Hilum	"45,923,790"	8.9 	"39,884,655 "	"34,442,916 "	"1,680,302 "	"36,123,218 "	"3,761,437 "	"31,988,972 "	"2,411,692 "	"41,678 "	62.82%	"10,936,302,392 "	"9,309,711,915 "	"5,404,074,036 "	"3,207,369,500 "	"354,204,490 "	"344,063,889 "	"32,374,774 "	"187,398 "	58.05%	34.45%	3.80%	3.70%	92.50%	99.42%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0003_C01_Dr_Sato_3_2dpi_BANAL_295_h	bam.230323_Novaseq_S4_TruseqUD_l3_0003_C01_Dr_Sato_3_2dpi_BANAL_295_h_S3.230323_Novaseq_S4_TruseqUD_l3_0003_C01_Dr_Sato_3_2dpi_BANAL_295_h_S3_Aligned.out.bam	BANAL-236_Hilum_2dpi	BANAL-236	2dpi	Hilum	"41,443,471"	9.0 	"36,059,480 "	"31,084,326 "	"1,518,040 "	"32,602,366 "	"3,457,114 "	"29,012,952 "	"2,029,180 "	"41,694 "	54.86%	"10,036,539,988 "	"8,534,454,588 "	"5,094,425,347 "	"2,838,725,663 "	"301,310,312 "	"299,993,266 "	"29,315,382 "	"156,594 "	59.69%	33.26%	3.53%	3.52%	92.95%	99.47%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0004_D01_Dr_Sato_4_2dpi_BANAL_296_h	bam.230323_Novaseq_S4_TruseqUD_l3_0004_D01_Dr_Sato_4_2dpi_BANAL_296_h_S4.230323_Novaseq_S4_TruseqUD_l3_0004_D01_Dr_Sato_4_2dpi_BANAL_296_h_S4_Aligned.out.bam	BANAL-236_Hilum_2dpi	BANAL-236	2dpi	Hilum	"51,022,966"	6.8 	"45,078,167 "	"39,617,257 "	"1,415,207 "	"41,032,464 "	"4,045,703 "	"36,861,490 "	"2,720,055 "	"35,088 "	57.70%	"12,228,688,295 "	"10,585,604,153 "	"6,349,005,422 "	"3,452,568,143 "	"413,439,217 "	"370,591,371 "	"36,947,828 "	"209,516 "	59.98%	32.62%	3.91%	3.50%	92.59%	99.44%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0005_E01_Dr_Sato_5_2dpi_WK_297_h	bam.230323_Novaseq_S4_TruseqUD_l3_0005_E01_Dr_Sato_5_2dpi_WK_297_h_S5.230323_Novaseq_S4_TruseqUD_l3_0005_E01_Dr_Sato_5_2dpi_WK_297_h_S5_Aligned.out.bam	WK-521_Hilum_2dpi	WK-521	2dpi	Hilum	"48,118,135"	9.4 	"41,554,279 "	"35,070,162 "	1128903	"36,199,065 "	5355214	"32,805,235 "	2233602	"30,592 "	61.05%	11199233724	9304560536	5467877424	3200242953	312533179	323906980	33446276	187021	58.77%	34.39%	3.36%	3.48%	93.16%	99.44%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0006_F01_Dr_Sato_6_2dpi_WK_298_h	bam.230323_Novaseq_S4_TruseqUD_l3_0006_F01_Dr_Sato_6_2dpi_WK_298_h_S6.230323_Novaseq_S4_TruseqUD_l3_0006_F01_Dr_Sato_6_2dpi_WK_298_h_S6_Aligned.out.bam	WK-521_Hilum_2dpi	WK-521	2dpi	Hilum	"44,490,527"	9.4 	"38,604,359 "	"31,866,606 "	"1,086,894 "	"32,953,500 "	"5,650,859 "	"29,764,780 "	"2,070,398 "	"30,814 "	52.53%	"10,563,695,020 "	"8,576,499,998 "	"5,262,541,210 "	"2,708,648,023 "	"323,072,444 "	"282,238,321 "	"30,572,397 "	"153,992 "	61.36%	31.58%	3.77%	3.29%	92.94%	99.50%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0007_G01_Dr_Sato_7_2dpi_WK_299_h	bam.230323_Novaseq_S4_TruseqUD_l3_0007_G01_Dr_Sato_7_2dpi_WK_299_h_S7.230323_Novaseq_S4_TruseqUD_l3_0007_G01_Dr_Sato_7_2dpi_WK_299_h_S7_Aligned.out.bam	WK-521_Hilum_2dpi	WK-521	2dpi	Hilum	"47,297,715"	8.4 	"41,486,331 "	"34,515,164 "	"1,547,981 "	"36,063,145 "	"5,423,186 "	"32,549,321 "	"1,926,592 "	"38,713 "	59.77%	"11,315,918,210 "	"9,255,799,947 "	"5,305,579,071 "	"3,409,818,831 "	"200,952,823 "	"339,449,222 "	"32,921,376 "	"194,331 "	57.32%	36.84%	2.17%	3.67%	94.16%	99.41%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0008_H01_Dr_Sato_8_2dpi_WK_300_h	bam.230323_Novaseq_S4_TruseqUD_l3_0008_H01_Dr_Sato_8_2dpi_WK_300_h_S8.230323_Novaseq_S4_TruseqUD_l3_0008_H01_Dr_Sato_8_2dpi_WK_300_h_S8_Aligned.out.bam	WK-521_Hilum_2dpi	WK-521	2dpi	Hilum	"40,509,859"	9.0 	"34,382,539 "	"28,277,089 "	"1,027,176 "	"29,304,265 "	"5,078,274 "	"26,467,043 "	"1,783,256 "	"26,111 "	57.83%	"9,423,677,682 "	"7,614,691,413 "	"4,453,059,066 "	"2,642,150,948 "	"250,163,906 "	"269,317,493 "	"26,988,929 "	"134,600 "	58.48%	34.70%	3.29%	3.54%	93.18%	99.50%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0009_A02_Dr_Sato_9_2dpi_delFCS_301_h	bam.230323_Novaseq_S4_TruseqUD_l3_0009_A02_Dr_Sato_9_2dpi_delFCS_301_h_S9.230323_Novaseq_S4_TruseqUD_l3_0009_A02_Dr_Sato_9_2dpi_delFCS_301_h_S9_Aligned.out.bam	WK-521 dFCS_Hilum_2dpi	WK-521 dFCS	2dpi	Hilum	"47,856,802"	9.5 	"42,144,081 "	"35,643,418 "	"1,245,438 "	"36,888,856 "	"5,255,225 "	"33,443,341 "	"2,166,015 "	"33,454 "	63.30%	"11,572,628,645 "	"9,618,055,891 "	"5,809,186,070 "	"3,180,326,317 "	"296,819,547 "	"331,723,957 "	"32,891,113 "	"168,213 "	60.40%	33.07%	3.09%	3.45%	93.47%	99.49%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0010_B02_Dr_Sato_10_2dpi_delFCS_302_h	bam.230323_Novaseq_S4_TruseqUD_l3_0010_B02_Dr_Sato_10_2dpi_delFCS_302_h_S10.230323_Novaseq_S4_TruseqUD_l3_0010_B02_Dr_Sato_10_2dpi_delFCS_302_h_S10_Aligned.out.bam	WK-521 dFCS_Hilum_2dpi	WK-521 dFCS	2dpi	Hilum	"48,858,575"	9.5 	"42,600,737 "	"37,802,297 "	"1,304,617 "	"39,106,914 "	"3,493,823 "	"35,323,843 "	"2,443,161 "	"34,669 "	56.98%	"11,589,185,504 "	"10,135,562,876 "	"6,113,263,607 "	"3,319,175,706 "	"339,038,989 "	"364,084,574 "	"34,435,742 "	"182,738 "	60.32%	32.75%	3.35%	3.59%	93.06%	99.47%
