Id.human	Id.hamster	symbol.human	symbol.hamster
1	101829727	A1BG	A1bg
2	101844081	A2M	A2m
13	101838868	AADAC	Aadac
14	101829957	AAMP	LOC101829957
15	101834092	AANAT	Aanat
16	101822663	AARS1	Aars1
18	101822430	ABAT	Abat
19	101838333	ABCA1	Abca1
20	101824906	ABCA2	Abca2
22	101835040	ABCB7	Abcb7
23	101825035	ABCF1	Abcf1
24	101844840	ABCA4	Abca4
25	101835549	ABL1	Abl1
27	101835844	ABL2	Abl2
29	101826246	ABR	Abr
31	101829270	ACACA	Acaca
32	101823042	ACACB	Acacb
33	101833241	ACADL	Acadl
34	101842383	ACADM	Acadm
35	101830179	ACADS	Acads
36	101835106	ACADSB	Acadsb
37	101824933	ACADVL	Acadvl
38	101834622	ACAT1	Acat1
40	101839927	ASIC2	Asic2
41	101823620	ASIC1	Asic1
43	101829909	ACHE	Ache
47	101830495	ACLY	Acly
48	101826983	ACO1	Aco1
49	101839533	ACR	Acr
50	101840520	ACO2	Aco2
51	101838571	ACOX1	Acox1
52	101832486	ACP1	Acp1
53	101843544	ACP2	Acp2
54	101823574	ACP5	Acp5
55	101840013	ACP3	Acp3
58	101822895	ACTA1	Acta1
59	101844160	ACTA2	Acta2
60	101844587	ACTB	Actb
70	101824839	ACTC1	Actc1
71	101839375	ACTG1	Actg1
72	101836352	ACTG2	Actg2
81	101841237	ACTN4	Actn4
86	101844645	ACTL6A	Actl6a
87	101825458	ACTN1	Actn1
88	101842066	ACTN2	Actn2
89	101842197	ACTN3	Actn3
90	101842059	ACVR1	Acvr1
91	101831380	ACVR1B	Acvr1b
92	101842415	ACVR2A	Acvr2a
93	101827873	ACVR2B	Acvr2b
94	101830579	ACVRL1	Acvrl1
95	101822669	ACY1	Acy1
97	101832686	ACYP1	Acyp1
98	106021157	ACYP2	Acyp2
100	101838813	ADA	Ada
101	101825702	ADAM8	Adam8
102	101831586	ADAM10	Adam10
103	101842183	ADAR	Adar
104	101835933	ADARB1	Adarb1
105	101823638	ADARB2	Adarb2
107	101822607	ADCY1	Adcy1
108	101836580	ADCY2	Adcy2
109	101844476	ADCY3	Adcy3
111	101827234	ADCY5	Adcy5
112	101835563	ADCY6	Adcy6
113	101839314	ADCY7	Adcy7
114	101827170	ADCY8	Adcy8
115	101842546	ADCY9	Adcy9
116	101837445	ADCYAP1	Adcyap1
117	101835337	ADCYAP1R1	Adcyap1r1
118	101830952	ADD1	Add1
119	101823101	ADD2	Add2
120	101839773	ADD3	Add3
123	101840167	PLIN2	Plin2
131	121142316	ADH7	Adh7
132	101828844	ADK	Adk
133	101841728	ADM	Adm
134	101823380	ADORA1	Adora1
135	101824159	ADORA2A	Adora2a
136	101832697	ADORA2B	Adora2b
141	101842244	ADPRH	Adprh
142	101834204	PARP1	Parp1
